code,name,brand,image,category,stores,generic,taxonomy_l3,taxonomy_l2
4061464962910,Bio-Sauerkraut,Aldi,https://images.openfoodfacts.org/images/products/406/146/496/2910/front_de.16.200.jpg,obst-gemuese,aldi,Sauerkraut,sauerkraut,eingelegtes-gemuese
4056489794639,Veganer Hirtengenuss,Vemondo,https://images.openfoodfacts.org/images/products/405/648/979/4639/front_de.8.200.jpg,sonstiges,lidl,Käsealternative vegan,kaese-alternativen,sonstiges
4014400934045,Knoppers Goodies,Storck,https://images.openfoodfacts.org/images/products/401/440/093/4045/front_de.81.200.jpg,suesses-knabberei,rewe|edeka,Waffelgebäck Schokolade,waffeln,vorrat
4056489884040,Eiskaffee Espresso Macchiato,Milbona,https://images.openfoodfacts.org/images/products/405/648/988/4040/front_de.9.200.jpg,getraenke,lidl,Eiskaffee Macchiato,eiskaffee,kaffee
4056489908494,High Protein Körniger Frischkäse,Milbona,https://images.openfoodfacts.org/images/products/405/648/990/8494/front_en.3.200.jpg,milch-eier,lidl,Körniger Frischkäse,koerniger-frischkaese,frischkaese
4337256635158,Walnüsse in der Schale,ja!,https://images.openfoodfacts.org/images/products/433/725/663/5158/front_de.13.200.jpg,suesses-knabberei,rewe,Walnüsse in Schale,walnusskerne,nuesse-kerne
4337256667562,Wakame Salat mit Mu-Err-Pilzen & Sesam,REWE to go,https://images.openfoodfacts.org/images/products/433/725/666/7562/front_de.43.200.jpg,fleisch-fisch,rewe,Wakamesalat,meeresprodukte,fleisch-fisch
4337256655002,Kefir Drink Natur fettarm,REWE Bio,https://images.openfoodfacts.org/images/products/433/725/665/5002/front_de.29.200.jpg,milch-eier,rewe,Kefir,kefir,milchgetraenke
4056489920137,tasty chocolate heaven,Milbona,https://images.openfoodfacts.org/images/products/405/648/992/0137/front_de.20.200.jpg,sonstiges,lidl,Trinkmahlzeit Schokolade,nahrungsergaenzung,sonstiges
4056489745822,Butter chicken salsa,Vitasia,https://images.openfoodfacts.org/images/products/405/648/974/5822/front_en.3.200.jpg,gewuerze-saucen,lidl,Currysauce,currysauce,wuerzsauce
4056489822431,Protein Bar Kokos Geschmack,Lidl,https://images.openfoodfacts.org/images/products/405/648/982/2431/front_de.23.200.jpg,suesses-knabberei,lidl,Proteinriegel Kokos,proteinriegel,muesliriegel
4337256453776,Frischkäse,REWE Bio,https://images.openfoodfacts.org/images/products/433/725/645/3776/front_de.32.200.jpg,milch-eier,rewe,Frischkäse,frischkaese,milch-eier
